place_name,latitude,longitude,rating,review_text,Shop_Type
Annipie,7.0690028,125.5924393,4,"I've been ordering their brownies here for a long time and they are still as delicious as I remember. Anniepie is one of those places I keep coming back to because of the consistent taste. The service and atmosphere are just average, but the food makes up for it. Overall, I really enjoy Anniepie, not just for the brownies but their other food options as well.",Coffee
Annipie,7.0690028,125.5924393,5,I have been to two other Annipies for food and drink but only came to this one for coffees to go. It was clean and the staff was friendly and helpful and packaged up my coffees very well for my walk home. I ordered a White Cinnamon Latte and an Iced Tiramisu Macchiato. Couldn't wait to get home and try them and I was very pleased with both. Excellent coffee! The CR was clean and they have WiFi!,Coffee
Annipie,7.0690028,125.5924393,3,"Cute spot but very high prices, place isn't even well marked . Could use a sign outside and maybe a couple of more standard priced options for students nearby",Coffee
Annipie,7.0690028,125.5924393,4,"We loved the food and the place, needs to improve the parking space. 2 star ratings sa service kasi hindi kami na heads-up na may shrimp yung carbonara, as someone na allergic sa seafood, nagulat ako, buti may dala kaming meds. Next time, either write allergens on the menu or tell customers about it when ordering. Also, don't serve utensils on the plate touching the food, it's very unhygienic.",Coffee
Annipie,7.0690028,125.5924393,5,The place is so cozy... You'll love it here. Your creativity will boost while sipping their coffee and taking a bite of their best selling cinnamon.You'll get a chance to reflect and think just about anything.,Coffee
Annipie,7.0690028,125.5924393,1,"I ordered the Annie carbonara, i tried it before from their other branch. This place it was a bit saltier. Their service should be really improved. I had to ask them if I can order, there were 2 people already eating but it's like I had to force myself. The waitress gave my food very rude. I also asked for the bathroom and they literally with no words just point the back side. How rude. Food was ok, but I hope the 2 women there improve their service just because i don't look fancy enough to be catered.",Coffee
Annipie,7.0690028,125.5924393,1,"Service is bad, especially if you're a student. I have experienced bad service from the crews not just once. They tend to choose customers and treat them nicely depending on their liking. If it weren't for the cinnamons, I would not choose this place to study and have a break from school.",Coffee
Annipie,7.0690028,125.5924393,1,"Foods are great but the service is far from good. Don't even try dining here if you're a student 'cause they be treating 'em poorly. Especially the big man that's always at the cashier, ma-attitude masyado.",Coffee
Annipie,7.0690028,125.5924393,4,Not a big of fan cinnamon but this changed my mind. Cinnamon is not overpowering and still soft even when put in the ref overnight.,Coffee
Annipie,7.0690028,125.5924393,2,"Staff were pretty unaccommodating. They told us to lower the blinds ourselves, didn't bother to clean the table first too.",Coffee
