shop_type,sentence,TargetAspect,sentiment
coffee,Truly a Starbuckian and cozy place to chill and unwind,Ambiance and Atmosphere,POSITIVE
coffee,Great atmosphere,Ambiance and Atmosphere,POSITIVE
coffee,The staffs are really kind and approachable i like the vibe and the song of choice they play,Ambiance and Atmosphere,POSITIVE
coffee,"Minimalist vibe, al fresco setting, and great coffee.",Ambiance and Atmosphere,POSITIVE
coffee,"We love the vibrant ambiance, customer service of the guards and waiters, clean comfort rooms and the yummy foods especially the cakes.",Ambiance and Atmosphere,POSITIVE
coffee,"We were all happy with the service, the ambiance, and of course the food and drinks.",Ambiance and Atmosphere,POSITIVE
coffee,"This chic, contemporary establishment perfectly complements the neighborhood's serene ambiance.",Ambiance and Atmosphere,POSITIVE
matcha,Way lami itambay kay ang alimuot sa ilang second floor.,Ambiance and Atmosphere,NEGATIVE
coffee,"The food was really yummy and the ambiance was warm and relaxing, which made the whole experience nice.",Ambiance and Atmosphere,POSITIVE
coffee,Chill place and peaceful.,Ambiance and Atmosphere,POSITIVE
coffee,"The peaceful ambiance, combined with the natural beauty of the surroundings, makes it an ideal place for any occasion.",Ambiance and Atmosphere,POSITIVE
matcha,The ambiance is nice,Ambiance and Atmosphere,POSITIVE
coffee,Good coffee and good ambiance,Ambiance and Atmosphere,POSITIVE
coffee,"Definitely among the best coffee shops in Davao City, especially with its laid back open garden atmosphere and its excellent coffee concoctions.",Ambiance and Atmosphere,POSITIVE
matcha,Very chill vibe too.,Ambiance and Atmosphere,POSITIVE
matcha,The coffee is good  hundred_points  the ambiance is instagramable  camera_with_flash,Ambiance and Atmosphere,POSITIVE
coffee,"The place is beautifully designed — cozy, Instagram-worthy, and has that relaxing vibe that makes you want to stay longer.",Ambiance and Atmosphere,POSITIVE
coffee,The interior is very unique and the ambiance is great.,Ambiance and Atmosphere,POSITIVE
coffee,Very nice ambiance with lots of cakes to choose from.,Ambiance and Atmosphere,POSITIVE
coffee,"Lovely atmosphere, delicious food and great music.",Ambiance and Atmosphere,POSITIVE
coffee,The place has a cute and cozy ambiance.,Ambiance and Atmosphere,POSITIVE
coffee,a place to go for a good cuppa with relaxing ambiance depending on the time of day.,Ambiance and Atmosphere,POSITIVE
coffee,"Love the minimalist approach, the friendly baristas and the cafe's airy & relaxing atmosphere.",Ambiance and Atmosphere,POSITIVE
coffee,We enjoy the food with the calm ambiance.,Ambiance and Atmosphere,POSITIVE
coffee,Their jazzy background music makes you mellow down and enjoy the ambiance.,Ambiance and Atmosphere,POSITIVE
coffee,"The outdoor tables are adorned with warm accent lights that mimic candlelight, creating a romantic and intimate atmosphere.",Ambiance and Atmosphere,POSITIVE
coffee,The minimalist design of the cafe creates a soothing atmosphere that's perfect for savoring every sip.,Ambiance and Atmosphere,POSITIVE
coffee,"The all-glass front and side are particularly pleasing and add a beautiful ambiance, especially at night.",Ambiance and Atmosphere,POSITIVE
matcha,Great atmosphere and service too :)),Ambiance and Atmosphere,POSITIVE
coffee,Place: Very Instagrammable Staff: friendly and very attentive Matcha: you can explore various types of high quality matcha drink.,Ambiance and Atmosphere,POSITIVE
coffee,"Worth the price  OK_hand_light_skin_tone  The services, wifi the ambiance.",Ambiance and Atmosphere,POSITIVE
coffee,New look but same vibe.,Ambiance and Atmosphere,NEUTRAL
coffee,clean and quiet green coffee branch.,Ambiance and Atmosphere,POSITIVE
matcha,Small interior space but I absolutely love the intimate atmosphere!,Ambiance and Atmosphere,POSITIVE
coffee,I always go for the al fresco area because the ambiance is really nice.,Ambiance and Atmosphere,POSITIVE
coffee,Aesthetic!,Ambiance and Atmosphere,POSITIVE
matcha,"Love the ambiance, too!",Ambiance and Atmosphere,POSITIVE
coffee,"So nice ambiance at this shop, the place is just in front of GoHotel/ Phonex near Guadalupe Village.",Ambiance and Atmosphere,POSITIVE
coffee,Elegant Classy vibe.,Ambiance and Atmosphere,POSITIVE
matcha,Cosy atmosphere with unique interior design.,Ambiance and Atmosphere,POSITIVE
matcha,It ruins the ambiance of an otherwise lovely place.,Ambiance and Atmosphere,NEGATIVE
matcha,"Great place, peaceful vibe.",Ambiance and Atmosphere,POSITIVE
coffee,Beautiful lighting and great atmosphere,Ambiance and Atmosphere,POSITIVE
coffee,A place to go when you want peace and quiet day with family.,Ambiance and Atmosphere,POSITIVE
coffee,"The ambiance is cosy, walls with artistic murals that add warmth and playfulness.",Ambiance and Atmosphere,POSITIVE
coffee,the AMBIANCE you must SEE and FEEL for yourself... it's TRULY worth your TIME and MONEY... #indahouse,Ambiance and Atmosphere,POSITIVE
coffee,The food and the atmosphere at your establishment are commendable.,Ambiance and Atmosphere,POSITIVE
coffee,Atmosphere 1/5 No such atmosphere.,Ambiance and Atmosphere,NEGATIVE
matcha,"good ambiance, good matcha & good service",Ambiance and Atmosphere,POSITIVE
matcha,The coffee is good  hundred_points  the ambiance is instagramable  camera_with_flash  …,Ambiance and Atmosphere,POSITIVE
matcha,"The place is also very aesthetic, clean and minimalistic.",Ambiance and Atmosphere,POSITIVE
coffee,nice atmosphere with delicious food,Ambiance and Atmosphere,POSITIVE
matcha,Aesthetic vibes!,Ambiance and Atmosphere,POSITIVE
coffee,"Cozy atmosphere, relaxing music, and the smell of coffee hits differently the moment you enter.",Ambiance and Atmosphere,POSITIVE
coffee,The ambiance is so relaxing and delicious.,Ambiance and Atmosphere,POSITIVE
coffee,I love the ambience and the music so much!,Ambiance and Atmosphere,POSITIVE
coffee,Old town Japanese vibe It must be pretty at night when lights hanged on the tree are lit.,Ambiance and Atmosphere,POSITIVE
coffee,The Cafe offers a unique ambiance that combines a cozy atmosphere with a beautiful indoor garden setup.,Ambiance and Atmosphere,POSITIVE
matcha,Love the atmosphere of the place quiet and chill.,Ambiance and Atmosphere,POSITIVE
coffee,The ambiance was conducive for studying.,Ambiance and Atmosphere,POSITIVE
coffee,Good ambiance and very nice place to study!,Ambiance and Atmosphere,POSITIVE
coffee,Great place for studying and chilling and place is quiet and the atmosphere is peaceful.,Ambiance and Atmosphere,POSITIVE
coffee,"Delicious foods,impleccable service amd charming ambiance blue_heart",Ambiance and Atmosphere,POSITIVE
coffee,"The ambiance is cozy and artistic, making the whole experience even more enjoyable.",Ambiance and Atmosphere,POSITIVE
coffee,"The overall aesthetic of the place was impressive, as expected from a design by an artist.",Ambiance and Atmosphere,POSITIVE
coffee,And it has a kinda peaceful chill place for me hehe,Ambiance and Atmosphere,POSITIVE
coffee,Everything is good the food the service and the ambiance.,Customer Service,POSITIVE
coffee,Beautiful ambiance and very delicious coffee plus accomodating crew white_heart  sparkles,Customer Service,POSITIVE
coffee,Train your staff properly invest in customer service you have the worst customer service in all coffee shop in davao city.,Customer Service,NEGATIVE
coffee,The best and sikwate with puto maya Nice place Nice their service,Customer Service,POSITIVE
matcha,"What really keeps me coming back is the overall experience—the cozy, homey interior and the warm, friendly owners who always make sure you …",Customer Service,POSITIVE
coffee,Price experience score (pes) 7/10 Take out place service ok Coffee good Shop nice Price good,Customer Service,POSITIVE
coffee,"love the food , the smiling face of the staff specially the ambiance of the nature",Customer Service,POSITIVE
coffee,Good service,Customer Service,POSITIVE
coffee,Super Lovely and welcoming Staff named Glena Jean,Customer Service,POSITIVE
coffee,Meals star  star  star  star  Burgers  star  star  star  star  star  Coffee  star  star  star  Place  star  star  star  star  star  Crews  star  star  star  star  Great service  star   star   star   star   star,Customer Service,POSITIVE
coffee,Coffee- 5/5 Place- 5/5 Service- 5/5 it ma,Customer Service,POSITIVE
coffee,the ambiance of the place plus the food is already giving and as well as the workers which is very accommodating in terms of services.,Customer Service,POSITIVE
coffee,"FROM THE MOMENT YOU WALK IN, THE ENTIRE CREW GREETS YOU WITH THE WARMEST SMILES AND ENERGY AND IT INSTANTLY MAKES YOU FEEL COMFORTABLE AND APPRECIATED!!!",Customer Service,POSITIVE
coffee,"Work friendly and relaxing ambiance, free wifi and charging station  OK_hand",Customer Service,POSITIVE
coffee,"great customer service by Glena Jean, the best among the rest!",Customer Service,POSITIVE
coffee,Good service,Customer Service,POSITIVE
matcha,The best matcha cafe in the Ph so cozy and friendly and just aesthetically pleasing!,Customer Service,POSITIVE
coffee,Aesthetics of the restaurant is the total opposite of service and food.,Customer Service,NEUTRAL
coffee,Accommodating ang staff and great ambiance while ga study,Customer Service,POSITIVE
coffee,Food 7.8/10 Matcha 8.5/10 Service 10/10 Place 10/10,Customer Service,POSITIVE
coffee,"The warm ambiance and friendly people evoke memories of teenage hangouts, while the expertly crafted offers a comforting taste of the past.",Customer Service,POSITIVE
coffee,Good service,Customer Service,POSITIVE
coffee,The interior was warm staff where friendly and willing to help guess its location is also a plus giving a little privacy,Customer Service,POSITIVE
coffee,Good service,Customer Service,POSITIVE
coffee,And Its really great to have a Nice Food Service and Atmosphere specially the new STarbucks branch,Customer Service,POSITIVE
coffee,Good Service,Customer Service,POSITIVE
coffee," cupcake Vanilla Flan Tart, Kalifa Cake  hot_beverage Crossroad latte, Spring Blossom, Roasted Indigo  star genuinely kind staff  star clean and beautifully maintained space  star Impressively fast service  star love the food and drinks overall",Customer Service,POSITIVE
coffee,Nice branch Great food friendly staff the place is Brand New and has great ambience,Customer Service,POSITIVE
coffee,A real third wave coffee experience in Davao operated by a passionate award winning barista.,Customer Service,POSITIVE
coffee,"The recent renovation solidifies Starbucks Abreeza as not just a coffee shop but a destination where friendly service, a conducive work environment, and a fresh, modern aesthetic come together for an exceptional experience.",Customer Service,POSITIVE
coffee,I love the cafe cause of the barista and food and coffee,Customer Service,POSITIVE
coffee,The staff name krezel is very friendly and accomodating,Customer Service,POSITIVE
matcha,"white chocolate matcha is good and the cheesecake as well, every accommodating din tung staff sila Russel and Sam.",Customer Service,POSITIVE
coffee,"I love how cozy and calm the overall vibe is, especially in the outdoor space — it's the perfect spot to relax and unwind.",Facilities and Amenities,POSITIVE
coffee,A high end coffee and diner in the  red_heart  of Samal with WiFi,Facilities and Amenities,POSITIVE
coffee,Strategic area with many establishments nearby and shared parking space too.,Facilities and Amenities,POSITIVE
coffee,pushpin Friendly and pleasant-looking staff  pushpin WiFi!!!,Facilities and Amenities,POSITIVE
coffee,Great place to work Good coffee and good food I recommand,Facilities and Amenities,POSITIVE
coffee,wide and secure parking space to atop over and take a short nap,Facilities and Amenities,POSITIVE
coffee,You feel safe with plenty of parking space & polite staff,Facilities and Amenities,POSITIVE
matcha,Cozy space and strong ac!,Facilities and Amenities,POSITIVE
coffee,The abundance of natural light and greenery creates a peaceful and calming environment that's perfect for enjoying a cup of coffee or working on your laptop.,Facilities and Amenities,POSITIVE
coffee,"Soft lighting, comfortable seating, and natural wood elements create an inviting space that's perfect for everything from casual hangouts to special celebrations.",Facilities and Amenities,POSITIVE
coffee,A quite place for study and review,Facilities and Amenities,POSITIVE
coffee,"The ambiance is cozy and conducive to focus, making it an ideal spot for both work and leisure.",Facilities and Amenities,POSITIVE
coffee,Best work space Yummy Food Good Service,Facilities and Amenities,POSITIVE
coffee,The space is nice and has a cozy vibe that makes it comfortable to stay and relax.,Facilities and Amenities,POSITIVE
coffee,Stash has good parking space and tidy comfort room.,Facilities and Amenities,POSITIVE
matcha,Love the aesthetic and how clean the space is!,Facilities and Amenities,POSITIVE
coffee,My friend also greatly appreciate the comfort room because it is so homey and clean.,Facilities and Amenities,POSITIVE
coffee,"Yummy cinnamon rolls, clean and comfy space",Facilities and Amenities,POSITIVE
coffee,Really cozy and aesthetic place to work and eat.,Facilities and Amenities,POSITIVE
coffee,The café's strong connection to nature is evident in every corner.,Facilities and Amenities,POSITIVE
coffee,Possibly the best coffee in Davao plus free WiFi,Facilities and Amenities,POSITIVE
coffee,The minimalist design and comfortable seating create a welcoming space.,Facilities and Amenities,POSITIVE
coffee,"It offers a spacious parking area and a cozy, beautifully designed space.",Facilities and Amenities,POSITIVE
coffee,Kafih is the ideal spot for both great food and a cozy study environment.,Facilities and Amenities,POSITIVE
