shop_type,sentence,TargetAspect,sentiment
coffee,Truly a Starbuckian and cozy place to chill and unwind,Ambiance and Atmosphere,
coffee,Great atmosphere,Ambiance and Atmosphere,
coffee,The staffs are really kind and approachable i like the vibe and the song of choice they play,Ambiance and Atmosphere,
coffee,"Minimalist vibe, al fresco setting, and great coffee.",Ambiance and Atmosphere,
coffee,"We love the vibrant ambiance, customer service of the guards and waiters, clean comfort rooms and the yummy foods especially the cakes.",Ambiance and Atmosphere,
coffee,"We were all happy with the service, the ambiance, and of course the food and drinks.",Ambiance and Atmosphere,
coffee,"This chic, contemporary establishment perfectly complements the neighborhood's serene ambiance.",Ambiance and Atmosphere,
matcha,Way lami itambay kay ang alimuot sa ilang second floor.,Ambiance and Atmosphere,
coffee,"The food was really yummy and the ambiance was warm and relaxing, which made the whole experience nice.",Ambiance and Atmosphere,
coffee,Chill place and peaceful.,Ambiance and Atmosphere,
coffee,"The peaceful ambiance, combined with the natural beauty of the surroundings, makes it an ideal place for any occasion.",Ambiance and Atmosphere,
matcha,The ambiance is nice,Ambiance and Atmosphere,
coffee,Good coffee and good ambiance,Ambiance and Atmosphere,
coffee,"Definitely among the best coffee shops in Davao City, especially with its laid back open garden atmosphere and its excellent coffee concoctions.",Ambiance and Atmosphere,
matcha,Very chill vibe too.,Ambiance and Atmosphere,
matcha,The coffee is good  hundred_points  the ambiance is instagramable  camera_with_flash,Ambiance and Atmosphere,
coffee,"The place is beautifully designed — cozy, Instagram-worthy, and has that relaxing vibe that makes you want to stay longer.",Ambiance and Atmosphere,
coffee,The interior is very unique and the ambiance is great.,Ambiance and Atmosphere,
coffee,Very nice ambiance with lots of cakes to choose from.,Ambiance and Atmosphere,
coffee,"Lovely atmosphere, delicious food and great music.",Ambiance and Atmosphere,
coffee,The place has a cute and cozy ambiance.,Ambiance and Atmosphere,
coffee,a place to go for a good cuppa with relaxing ambiance depending on the time of day.,Ambiance and Atmosphere,
coffee,"Love the minimalist approach, the friendly baristas and the cafe's airy & relaxing atmosphere.",Ambiance and Atmosphere,
coffee,We enjoy the food with the calm ambiance.,Ambiance and Atmosphere,
coffee,Their jazzy background music makes you mellow down and enjoy the ambiance.,Ambiance and Atmosphere,
coffee,"The outdoor tables are adorned with warm accent lights that mimic candlelight, creating a romantic and intimate atmosphere.",Ambiance and Atmosphere,
coffee,The minimalist design of the cafe creates a soothing atmosphere that's perfect for savoring every sip.,Ambiance and Atmosphere,
coffee,"The all-glass front and side are particularly pleasing and add a beautiful ambiance, especially at night.",Ambiance and Atmosphere,
matcha,Great atmosphere and service too :)),Ambiance and Atmosphere,
coffee,Place: Very Instagrammable Staff: friendly and very attentive Matcha: you can explore various types of high quality matcha drink.,Ambiance and Atmosphere,
coffee,"Worth the price  OK_hand_light_skin_tone  The services, wifi the ambiance.",Ambiance and Atmosphere,
coffee,New look but same vibe.,Ambiance and Atmosphere,
coffee,clean and quiet green coffee branch.,Ambiance and Atmosphere,
matcha,Small interior space but I absolutely love the intimate atmosphere!,Ambiance and Atmosphere,
coffee,I always go for the al fresco area because the ambiance is really nice.,Ambiance and Atmosphere,
coffee,Aesthetic!,Ambiance and Atmosphere,
matcha,"Love the ambiance, too!",Ambiance and Atmosphere,
coffee,"So nice ambiance at this shop, the place is just in front of GoHotel/ Phonex near Guadalupe Village.",Ambiance and Atmosphere,
coffee,Elegant Classy vibe.,Ambiance and Atmosphere,
matcha,Cosy atmosphere with unique interior design.,Ambiance and Atmosphere,
matcha,It ruins the ambiance of an otherwise lovely place.,Ambiance and Atmosphere,
