place_name,rating,shop_type,sentence,TargetAspect,sentiment,is_synthetic,prob_negative,prob_neutral,prob_positive,predicted_label,margin
Kape Dabaw,2,coffee,"Saba kaayo ang mga barista mag chika, dungog sa tibook shop.",Ambiance and Atmosphere,,True,0.39661148,0.21914437,0.3842441,NEGATIVE,0.012367368
Aesthetic Cafe Davao,2,coffee,"Masyadong dikit-dikit ang tables, zero privacy jud kung mag tabi.",Ambiance and Atmosphere,,True,0.42471796,0.19391754,0.38136446,NEGATIVE,0.043353498
Barok Cafe & Resto,1,coffee,"Even if you don't say good morning or excuse me, you're just being polite KY you don't want Saba going to KTV.",Ambiance and Atmosphere,,False,0.40843308,0.21742716,0.37413976,NEGATIVE,0.034293324
Poblacion Brews,2,coffee,"Puro aesthetic, walay hangin. Mag mantika gyud imong face.",Ambiance and Atmosphere,,True,0.40976188,0.19929716,0.390941,NEGATIVE,0.018820882
The Coffee Bar at GMall of Davao,2,coffee,so i ate my pasta and just reveled at the comfortable vibe of the coffee shop whilst glancing at my korean tele novela.,Ambiance and Atmosphere,,False,0.39431766,0.22370107,0.38198128,NEGATIVE,0.012336373
Anniepie,3,coffee,"Annipie sits right in the middle of the mall, making it a cozy and convenient spot to rest and chill after a long day of malling—something we actually don't have much of in Manila, so we decided to try some of their interesting menu items.",Ambiance and Atmosphere,,False,0.4080478,0.20802681,0.3839254,NEGATIVE,0.024122387
HYGGE COFFEE 2,1,coffee,Place was noisy too and NOT conducive for studying and/or working.,Ambiance and Atmosphere,,False,0.42324084,0.185144,0.3916152,NEGATIVE,0.03162563
Green Coffee - Marfori,3,coffee,Rustic ambiance.,Ambiance and Atmosphere,,False,0.41539755,0.18738215,0.39722037,NEGATIVE,0.018177181
Solace - Coffee Club,1,coffee,The cafe music is was so loud it seems like the baristas are in their house.,Ambiance and Atmosphere,,False,0.4090871,0.2068092,0.38410378,NEGATIVE,0.024983317
The Secret Garden Cafe,3,coffee,Place is very instagrammable!,Ambiance and Atmosphere,,False,0.41682705,0.18021804,0.4029549,NEGATIVE,0.013872147
Starbucks,1,coffee,The place has a good ambiance.,Ambiance and Atmosphere,,False,0.40930924,0.18774585,0.40294492,NEGATIVE,0.0063643157
Brewed Obrero,2,coffee,"Puro hype lang, alimuot unya dili conducive mag work.",Ambiance and Atmosphere,,True,0.39744475,0.21511784,0.38743746,NEGATIVE,0.010007292
Poblacion Brews,2,coffee,They play club music sa coffee shop. Bati kaayo ug vibe.,Ambiance and Atmosphere,,True,0.3963705,0.22020553,0.3834239,NEGATIVE,0.012946606
Aesthetic Beans,1,coffee,"Gahi kaayo ilang mga bangko, dili madalag dugay na lingkod.",Ambiance and Atmosphere,,True,0.39550504,0.21903536,0.38545957,NEGATIVE,0.010045469
Matcha Point,1,matcha,"Di nako bet ang vibe, grabe ka banha and disorganized.",Ambiance and Atmosphere,,True,0.3938564,0.22547314,0.3806705,NEGATIVE,0.013185918
Green Coffee - Marfori,2,coffee,The atmosphere is really great.,Ambiance and Atmosphere,,False,0.40011233,0.20326163,0.396626,NEGATIVE,0.0034863353
Matcha Vibes,1,matcha,"Saba kaayo maghugas og plato mga staff, madunggan sa area.",Ambiance and Atmosphere,,True,0.4155802,0.19878344,0.3856363,NEGATIVE,0.029943913
Es.cafe,1,coffee,Atmosphere (2/5) the chairs are not very aesthetic.,Ambiance and Atmosphere,,False,0.3941556,0.21812212,0.3877222,NEGATIVE,0.0064333975
Coffee Project Mintal,3,coffee,"Really Hoping in 2023, your coffee will be as good as your ambiance.",Ambiance and Atmosphere,,False,0.38610244,0.22272559,0.3911719,POSITIVE,0.0050694644
Green Matcha PH,1,matcha,"Pangit ang lighting nila, murag naa sa peryahan sa sobrang dim.",Ambiance and Atmosphere,,True,0.39754227,0.21477237,0.38768536,NEGATIVE,0.0098569095
