place_name,latitude,longitude,rating,review_text,Shop_Type
The Matcha Tokyo - SM Davao,7.0571137,125.5612475,3,For me: totally overpriced. Served in a lot of waste - even on dine in. Picture of food has nothing in common with the serving. Very friendly staff. …,Matcha
The Matcha Tokyo - SM Davao,7.0571137,125.5612475,5,Was able to try this branch of Matcha Tokyo here at SM City Davao. Their place is smaller compared to the Azuela branch. It is also simplier when it comes to interior and aesthetics. Staff was welcoming and attentive. I ordered their …,Matcha
The Matcha Tokyo - SM Davao,7.0571137,125.5612475,5,matcha drinks/dessert are always good. staff are accommodating and suggests you options. place is not crowded during non peak hours. clean and well-maintained.,Matcha
The Matcha Tokyo - SM Davao,7.0571137,125.5612475,4,"Their matcha tastes great but quite expensive compared to other cafe you could drink matcha from, otherwise it's good. They also whisk their matcha. However, they only have limited seats and space. Would love to try their matcha ice cream next time.",Matcha
The Matcha Tokyo - SM Davao,7.0571137,125.5612475,5,I'm not really a huge fan of matcha but it's so good! Especially their mochi matcha ice cream. Definitely recommended!,Matcha
The Matcha Tokyo - SM Davao,7.0571137,125.5612475,5,"I've ordered matcha twice here and it's always been good quality. I prefer a hotter green tea, but they advised against it to preserve the taste. They clearly know their matcha well. Overall, I'm happy with my experience.",Matcha
The Matcha Tokyo - SM Davao,7.0571137,125.5612475,4,"Despite my choice of drink is not available, they gave me other options which is also good and delicious.",Matcha
The Matcha Tokyo - SM Davao,7.0571137,125.5612475,5,Visited Matcha Tokyo SM Ecoland while doing our Christmad shopping. The matcha lovers in the family made sure we tried this particular branch in Davao. The shop is within the new chic annex of the mall. …,Matcha
The Matcha Tokyo - SM Davao,7.0571137,125.5612475,5,Very clean and great relaxing atmosphere. Love their matcha drinks and pastries.,Matcha
The Matcha Tokyo - SM Davao,7.0571137,125.5612475,5,"Loved my first visit to THE MATCHA TOKYO! Excellent matcha latte, tasty cheesecake, and a beautiful minimalist vibe. The perfect spot to relax.",Matcha
The Matcha Tokyo - SM Davao,7.0571137,125.5612475,5,The matcha were super great and premium. The staff were all smile and thoughtful. All the best,Matcha
The Matcha Tokyo - SM Davao,7.0571137,125.5612475,5,"Nice Place, Good Service, I Loved the coffee.",Matcha
The Matcha Tokyo - SM Davao,7.0571137,125.5612475,3,"I love the Matcha drinks and soft serve ice cream. However, service was not impressive. Seems like the cashier or the order taker was very tired. Not smiling and not waiting on customers orders. She does not seem fit to work at the front line.",Matcha
The Matcha Tokyo - SM Davao,7.0571137,125.5612475,5,One of our go to matcha cafe in mnl is now in dvo. The matcha tastes impeccable and the staff are friendly and quick.,Matcha
The Matcha Tokyo - SM Davao,7.0571137,125.5612475,5,"Staff here is friendly. Their matcha products are good, not too sweet and not too bitter. Big fan of their soft serve.",Matcha
